"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EPS15L1",222.944691394331,-0.2181650526354,0.0615715335943159,-3.54327787371436,0.000395186065963986,0.00100094597945196
"EPS8",1812.93928014148,0.881757314120607,0.0816873457602982,10.7942950761066,3.66262331347084e-27,1.24305131903537e-25
"EPS8L1",61.2935650846487,0.515177867432495,0.143697124317925,3.58516476845203,0.000336865459572456,0.000863495108298059
"EPS8L2",198.190025028792,-0.425771459652978,0.125110291157834,-3.40316896166314,0.000666090755756176,0.00161479564727135
"EPSTI1",232.69123948817,-0.105968371333308,0.0991303559653263,-1.0689800344344,0.285078666017854,0.357616519659464
"EPX",2.79176105000993,-0.659837516761567,0.2950796166082,-2.23613384193082,0.0253430052468134,0.0431304102239649
"EQTN",6.52325741939672,-0.816900760294394,0.284860210716236,-2.86772504394498,0.00413434659062638,0.00851312541230574
"ERAL1",102.728795210497,0.149890909516465,0.0979876099974106,1.52969247357319,0.126092867494404,0.176836597505726
"ERAP1",1345.81929450993,-0.0922445675947556,0.0572422899569699,-1.61147584529021,0.107076047796579,0.153447978542225
"ERAP2",921.286468826048,0.0777083886120963,0.137600808366866,0.564737878609792,0.572252066030562,0.641388202733025
"ERBB2",557.006975654095,0.473752286955154,0.0907227169178948,5.22198081197134,1.77019315406171e-07,7.76798337008645e-07
"ERBB3",1047.71282546133,1.07295403039851,0.102597725618281,10.457873446342,1.34848125494567e-25,3.95943399465233e-24
"ERBB4",276.027614212308,-0.560002750836268,0.150192514291418,-3.72856632354991,0.000192572229048316,0.000517885877260245
"ERBIN",2898.43358951747,0.140101199837884,0.0497734423714717,2.81477818617154,0.00488109114570309,0.00987245503662442
"ERC1",1205.9752545216,-0.390794734071544,0.0557132777502264,-7.01439135969622,2.30952100199869e-12,1.80470361350291e-11
"ERC2",30.0274719682364,-0.240175492412261,0.16342780433222,-1.46961218376297,0.141666818572153,0.195576735577638
"ERCC1",177.485148992511,0.0626682570941134,0.080221357418707,0.781191681499766,0.434689765514121,0.510352608564107
"ERCC2",49.9730244428652,0.613328320181995,0.110595989574309,5.5456651054232,2.92838853912218e-08,1.41456385142039e-07
"ERCC3",281.619022385444,-0.0219140540498862,0.0633177476061467,-0.346096550783794,0.729270155516522,0.779994091135488
"ERCC4",189.864855614164,0.176043438626317,0.0696487645933729,2.52758881875512,0.0114848770138069,0.0213556078316112
